date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:31	105/105	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Jul%202021%2019:31:30%20GMT	https://sochillpanel.com/robots.txt		(from )
00:31:31	57086/57086	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202021%2019:31:30%20GMT	https://sochillpanel.com/	D:/rovaid/websites/majid/https___sochillpanel.com_/sochillpanel.com/index.html	(from )
00:31:33	13571/13571	---M--	200	added ('OK')	image/png	etag:%225f95bfd6-3503%22	https://cdn.mypanel.link/30e6b5/nrbq24iasj38f8c1.png	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.mypanel.link/30e6b5/nrbq24iasj38f8c1.png	(from https://sochillpanel.com/)
00:31:33	30494/30494	---M-Z	200	added ('OK')	application/javascript	etag:%220d2a696ff53d71:0%22	http://bat.bing.com/bat.js	D:/rovaid/websites/majid/https___sochillpanel.com_/bat.bing.com/bat.js	(from https://sochillpanel.com/)
00:31:33	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	D:/rovaid/websites/majid/https___sochillpanel.com_/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://sochillpanel.com/)
00:31:35	52317/52317	---MCZ	200	added ('OK')	text/css	etag:%22bd36eaa384d7f006e37b897741489b9a-ssl-df%22	https://adoring-hodgkin-378c87.netlify.app/external.css	D:/rovaid/websites/majid/https___sochillpanel.com_/adoring-hodgkin-378c87.netlify.app/external.css	(from https://sochillpanel.com/)
00:31:36	7785/7785	---M-Z	200	added ('OK')	text/css	etag:%225eb03d8e-1e69%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap-datetimepicker/4.17.47/css/bootstrap-datetimepicker.min.css	D:/rovaid/websites/majid/https___sochillpanel.com_/cdnjs.cloudflare.com/ajax/libs/bootstrap-datetimepicker/4.17.47/css/bootstrap-datetimepicker.min.css	(from https://sochillpanel.com/)
00:31:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Jul%202021%2019:31:37%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.6.delayed	(from https://sochillpanel.com/)
00:31:37	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/rovaid/websites/majid/https___sochillpanel.com_/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://sochillpanel.com/)
00:31:37	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	D:/rovaid/websites/majid/https___sochillpanel.com_/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://sochillpanel.com/)
